Run	Actinomycetales	Aeromonadales	Anaeroplasmatales	Bacillales	Bacteroidales	Burkholderiales	Campylobacterales	Chloroplast	Clostridiales	Coriobacteriales	Desulfovibrionales	Elusimicrobiales	Enterobacteriales	Erysipelotrichales	Fibrobacterales	Fusobacteriales	Lactobacillales	Methanobacteriales	Methanomassiliicoccales	Oligosphaerales	Pasteurellales	Puniceicoccales	Rhizobiales	Rhodospirillales	Saccharibacteria_genera_incertae_sedis	Selenomonadales	Sphingomonadales	Spirochaetales	Subdivision5_genera_incertae_sedis	Synergistales	Unclassified Actinobacteria Class	Unclassified Alphaproteobacteria Class	Unclassified Bacilli Class	Unclassified Bacteroidetes Phylum	Unclassified Betaproteobacteria Class	Unclassified Clostridia Class	Unclassified Deltaproteobacteria Class	Unclassified Epsilonproteobacteria Class	Unclassified Firmicutes Phylum	Unclassified Gammaproteobacteria Class	Unclassified Lentisphaerae Phylum	Unclassified Mollicutes Class	Unclassified Proteobacteria Phylum	Unclassified Thermoplasmata Class	Unclassified Verrucomicrobia Phylum	Verrucomicrobiales	Victivallales
SRR6979109	2	328	0	11	80423	1001	1359	0	32044	283	6	3	996	20	0	5	11	0	0	2	1367	0	10	83	0	2443	1	3297	2	0	2	103	0	2925	263	31	16	2	295	12	0	0	57	0	0	0	1
SRR6979110	3	47	12	0	51458	918	2696	3	31652	121	56	2	74	76	2	14	22	0	0	3	5	0	0	208	0	5943	0	948	1	0	0	268	0	1802	337	58	25	5	447	1	0	4	80	0	0	0	0
SRR6979111	4	1812	0	0	23185	1364	70	0	40997	73	116	4253	8	69	293	0	2	19	510	10849	36	187	4	890	18	740	1	4608	11321	18	1	2807	0	2246	398	646	69	0	4220	13	383	0	771	17	2038	0	29
SRR6979112	0	451	3	5	52934	37	4	0	37488	367	94	1	0	213	0	0	8	17	1	15	2	0	2	95	3	4609	1	443	8	0	2	72	0	1578	10	85	3	0	548	1	0	0	17	0	0	0	0
SRR6979113	0	0	0	0	4778	97	4373	0	2181	0	1	68	67	0	0	0	0	0	0	0	0	0	809	1	0	885	41	439	173	0	0	8	0	111	1	10	0	5	75	0	0	0	20	0	9	0	0
SRR6979114	1	2	12	0	55814	205	18	0	42443	611	1216	175	2903	58	1738	0	1	0	18	3	2	0	1	11	1592	4044	0	1148	4	0	2	20	0	10750	12	75	27	0	617	29	0	5	30	1	1	0	0
SRR6979115	0	999	4	0	80870	235	96	0	40290	579	1854	2611	2	365	101	0	13	27	15	286	170	0	3	152	0	23454	0	920	71	16	2	422	0	6144	76	189	192	0	1677	1	6	1	318	0	36	27	3
SRR6979116	0	83	3	4	45921	102	44	3	56557	1253	285	0	0	511	33	0	310	20	12	25	0	0	11	59	4	1398	0	334	171	0	10	90	15	1837	16	296	62	2	1717	1	5	5	217	0	92	0	3
SRR6979117	1	263	0	6	27606	90	23	1	58955	1912	301	0	1	491	24	0	1258	345	8	109	40	1	4	64	5	3506	0	599	85	6	11	105	6	6159	22	448	6	0	2205	0	4	0	29	1	12	0	9
SRR6979118	1	92	8	3	22217	115	20	1	53928	702	389	1	3	456	23	0	9	212	6	582	2	0	13	12	40	638	2	275	352	22	4	50	1	1875	42	426	72	0	2836	1	4	0	220	0	179	5	11
SRR6979119	3	135	5	16	11558	325	1677	0	4787	167	254	249	368	19	58	14	0	0	5	132	3	0	217	0	56	1674	75	287	239	0	7	6	1	642	32	18	4	3	206	3	3	1	10	0	59	0	0
SRR6979120	1	98	0	0	85402	309	196	3	51880	187	792	40	3	60	207	1	5	47	6	9	73	3	3	7	24	6072	0	2229	77	6	4	19	0	4047	29	238	20	3	1347	0	0	0	41	0	26	0	1
SRR6979121	0	437	0	0	32735	172	459	1	38637	275	123	76	1	89	227	0	252	5	77	8744	44	71	2	23	8	925	0	5705	8431	2	4	1556	5	5327	58	582	481	2	4889	6	306	0	2356	6	1994	2	52
SRR6979122	0	10792	0	0	60770	1589	195	0	27296	229	264	0	1	150	236	0	1	4	112	2583	2	446	3	361	4	1020	0	1385	6206	3	2	751	0	2982	396	234	119	0	1616	39	83	0	395	2	664	0	307
SRR6979123	1	141	0	57	34049	182	8934	0	30005	804	378	0	1	311	118	0	42	7	35	271	0	0	252	43	0	2392	19	1080	334	0	5	54	1	1946	37	160	2	8	876	1	38	0	41	2	105	0	0
SRR6979124	4	2541	0	0	77342	519	31	0	63591	155	778	2590	3	46	337	4	19	189	155	1268	12	2	4	211	17	2970	0	2357	1704	34	1	136	0	5607	127	366	206	0	2214	14	25	0	720	3	740	0	0
SRR6979125	0	1318	0	222	39055	539	13595	0	10470	19	102	0	3	51	0	0	37	0	0	120	27	0	535	143	0	3561	79	170	312	0	0	198	5	2318	37	45	20	27	305	6	3	0	197	0	77	0	0
SRR6979126	1	109	21	124	7067	357	1313	0	2407	68	0	51	1031	23	0	0	0	0	0	63	0	0	287	5	0	452	19	96	33	0	3	25	0	259	2	16	16	7	169	20	2	13	59	0	38	0	0
SRR6979127	0	295	0	3	20992	227	89	0	14718	228	95	0	12	5	8	0	1	0	0	910	17	0	360	18	0	3374	0	820	412	0	0	47	0	799	8	76	25	1	262	3	107	0	147	0	108	0	0
SRR6979128	19	1713	0	56	41680	766	184	0	11814	402	25	0	42	43	0	91	99	0	0	0	0	0	606	2	0	4038	127	17	0	0	3	16	3	802	35	11	12	1	83	3	0	0	31	0	0	0	0
SRR6979129	1	1946	96	0	64255	806	551	0	25382	139	23	686	0	95	442	0	46	0	110	1349	19	3	2	405	6	1875	0	1238	2354	0	2	405	0	2607	211	128	48	16	1308	6	42	48	152	4	471	0	34
SRR6979130	1	233	0	6	51312	264	12	3	45930	745	763	0	15	215	0	2	49	0	2	39	19	0	1	9	2	21070	0	1926	12	0	9	110	0	2334	10	94	25	0	1036	2	0	0	23	0	6	278	0
SRR6979131	0	81	0	1	36486	176	12	6	57348	1302	470	1	1	261	155	0	109	162	53	226	0	1	5	15	23	1461	0	232	414	0	5	53	2	3096	70	414	11	0	1991	0	11	0	15	2	240	0	2
SRR6979132	1	0	0	0	34262	671	330	0	50569	668	138	2	2	390	0	1	6	13	0	2743	4	0	0	46	1	6219	0	5155	226	0	9	314	0	4789	275	366	6	2	2121	2	195	0	70	0	233	60	66
SRR6979133	0	3	1	32	1074	209	4213	0	774	1	0	168	2	0	0	0	0	0	0	0	0	0	442	0	0	258	0	20	1	0	0	12	0	22	0	1	0	14	5	0	0	1	23	0	0	0	0
SRR6979134	0	665	18	43	67919	225	4174	0	9835	43	0	0	1	44	5	0	137	0	0	0	0	0	70	39	0	8153	0	339	15	0	0	66	3	1205	18	15	61	56	153	4	0	12	233	0	12	0	11
SRR6979135	2	849	0	32	14281	316	4720	0	45245	292	879	0	5	256	107	0	123	283	11	98	14	1	120	47	0	1907	0	3973	408	21	1	87	1	5449	37	366	17	15	1398	5	77	0	60	0	159	0	67
SRR6979136	0	1	0	2	60510	64	2	0	34182	258	94	0	7	87	0	0	53	12	0	6	10	0	8	12	5	5526	1	83	0	0	3	42	1	1707	10	69	3	0	526	0	0	0	5	0	0	76	0
SRR6979137	2	251	1	3	51660	92	1701	0	37634	632	308	113	224	80	87	0	483	0	4	102	9	0	3	84	0	3041	5	274	344	4	4	89	13	5401	18	186	144	8	1477	7	1	1	473	0	129	2	0
SRR6979138	0	819	49	12	51081	225	3631	0	11279	8	47	0	8	114	0	0	0	0	0	42	0	0	138	96	0	5418	0	1840	0	0	0	92	0	951	32	19	29	5	108	2	0	23	33	0	0	0	8
SRR6979139	2	443	0	2	52123	995	114	0	28324	24	211	962	1	34	216	0	1	10	99	1491	24	221	49	44	0	573	0	10267	3766	0	1	161	0	5458	151	303	76	0	1816	1	57	0	314	0	1125	0	149
SRR6979140	0	622	77	3	45637	141	3443	0	18900	244	54	0	3	151	2	2	9	9	24	724	0	0	62	88	1	2529	0	1184	479	0	0	132	0	1408	27	171	55	32	1205	5	8	46	198	2	106	0	215
SRR6979141	38	94	43	0	84689	1365	744	1	36557	766	226	248	738	341	964	3	16	0	61	278	39	22	0	139	722	2819	0	3326	876	0	7	230	2	6712	383	205	209	2	1120	8	31	21	718	5	148	1	17
SRR6979142	1	1788	0	0	70449	602	490	0	33371	442	506	6319	4	276	605	0	0	7	35	239	74	5	3	215	6	13609	2	848	174	0	2	582	0	4542	155	158	449	1	1515	7	8	0	810	0	30	0	3
SRR6979143	0	2672	0	0	83851	214	4	0	45729	914	8	5	2	196	0	0	41	0	0	0	43	0	8	70	4	3927	0	2	0	0	3	75	0	2747	19	36	9	0	294	5	1	0	17	0	0	0	0
SRR6979144	0	696	0	2	30344	211	3405	0	13573	99	48	0	208	12	0	0	0	0	0	148	0	0	399	51	0	5830	351	231	47	0	0	368	1	821	69	34	2	12	286	8	0	0	91	0	7	0	0
SRR6979145	2	1495	0	0	61916	621	54	0	45765	683	680	1	0	205	0	1	19	0	25	815	62	7	3	15	0	10490	0	7055	278	0	0	352	0	8826	74	156	89	1	1406	6	20	0	77	0	244	1288	0
SRR6979146	1	30	0	0	40062	178	132	3	79490	1935	574	0	0	1879	37	0	18	125	19	235	1	3	6	50	9	4986	0	335	242	78	3	82	0	1556	55	564	64	3	3453	0	2	0	206	0	56	6	3
SRR6979147	1	1293	0	79	39696	662	1998	0	17192	118	112	1269	3	30	224	1	0	33	28	561	17	0	297	21	0	5875	13	655	1166	0	2	81	9	1420	96	95	26	5	698	8	32	0	160	0	258	1	0
SRR6979148	1	113	0	2	49882	202	105	2	51526	601	865	0	2	161	972	3	100	207	85	774	5	0	2	10	10	813	0	2226	2067	1	2	48	1	8996	68	452	106	1	2103	0	26	0	359	6	1085	0	1
SRR6979149	0	50	0	109	26188	1110	22026	0	20292	149	408	0	99	284	9	66	0	0	9	225	0	2	238	35	0	1682	70	1838	70	739	0	62	5	1349	287	71	52	162	316	1	27	0	275	1	60	328	0
SRR6979150	1	52	0	26	18520	343	4793	0	11451	434	68	4	46544	13	0	50	186	0	0	36	522	0	104	30	3	1270	31	382	44	0	3	29	3	713	84	61	16	10	380	564	0	0	137	0	0	50	0
SRR6979151	0	811	0	0	63918	142	31	0	31798	371	93	5	2	104	3	5	112	15	2	30	1152	0	3	176	11	10719	0	110	46	0	1	234	2	4139	13	76	42	0	747	5	1	0	115	0	13	0	0
SRR6979152	0	301	0	0	36620	131	2	1	59706	944	236	0	0	163	117	0	7	6	73	887	10	0	2	25	18	12208	0	852	349	56	5	67	0	6529	28	369	25	0	2402	1	8	0	108	4	153	56	0
SRR6979153	0	1121	14	0	62971	289	2295	0	26549	208	156	1	0	72	4	1	10	54	10	415	0	0	1	199	3	6936	0	3567	469	1	1	164	0	4654	82	115	22	5	1089	6	2	6	89	0	38	2	15
SRR6979154	0	1544	0	0	63762	197	1	9	37975	1635	3	0	3	177	0	0	46	0	0	3	54	0	4	156	10	12978	2	1	1	0	11	125	0	3001	26	43	1	0	471	6	0	0	19	0	0	0	0
SRR6979155	3	710	7	2	33962	212	490	4	43271	645	724	2	2	118	527	0	5	257	78	1696	1	14	0	24	13	712	0	2684	1537	43	5	271	0	7350	68	493	190	4	2718	4	14	5	977	2	688	83	76
SRR6979156	0	2470	1	3	24988	495	44	0	33608	62	252	1	0	235	1053	0	64	11	629	12910	7	401	0	305	2	296	0	15092	11364	5	0	923	0	8354	79	753	97	0	5505	5	387	0	643	16	2099	0	314
SRR6979157	2	498	61	0	28529	144	615	0	27012	108	246	0	2	258	339	0	19	1	291	3821	1	56	2	89	3	122	0	11646	12144	0	5	1478	0	6870	47	617	383	10	3459	2	720	38	1650	9	3369	0	391
SRR6979158	7	28	0	6	3220	45	16606	0	1106	33	12	0	0	5	3	0	2	0	0	2	26	21	199	0	10	518	20	79	13	0	0	5	1	139	3	5	1	48	35	1	0	0	68	0	1	0	0
SRR6979159	1	0	0	0	24288	658	9159	0	4923	172	0	0	68	4	0	0	0	0	0	28	1	0	376	19	0	1688	0	2360	0	0	0	25	0	400	112	9	0	20	27	0	16	0	38	0	0	0	1
